OADB,EADB,EAWB,RH,TC,SHC,kW,airflow,SFP
95,95,57,4.573367842,228000,309840,18.1,8000,
95,95,75,40.20910644,293000,235375,18.7,9000,
95,95,72,33.29467909,280000,268315,18.6,9000,
95,95,67,22.71109727,259000,315285,18.4,9000,
95,95,62,13.1803221,239000,344345,18.2,9000,
95,95,57,4.573367842,236000,320645,18.2,9000,
95,95,75,40.20910644,296000,254400,18.8,10000,
95,95,72,33.29467909,284000,286700,18.6,10000,
95,95,67,22.71109727,262000,337000,18.4,10000,
95,95,62,13.1803221,245000,357800,18.2,10000,
95,95,57,4.573367842,243000,330450,18.3,10000,
105,105,75,25.13447896,277000,283200,21.1,8000,
105,105,72,20.02318878,265000,317000,20.9,8000,
105,105,67,12.19958243,243000,360400,20.8,8000,
105,105,62,5.154232901,223000,386800,20.6,8000,
105,105,57,-1.208208779,220000,349800,20.6,8000,
105,105,75,25.13447896,281000,311575,21.1,9000,
105,105,72,20.02318878,269000,346000,21,9000,
105,105,67,12.19958243,248000,391475,20.8,9000,
105,105,62,5.154232901,229000,408625,20.6,9000,
105,105,57,-1.208208779,227000,363125,20.6,9000,
105,105,75,25.13447896,284000,336750,21.2,10000,
105,105,72,20.02318878,272000,371250,21,10000,
105,105,67,12.19958243,251000,421000,20.8,10000,
105,105,62,5.154232901,235000,427250,20.7,10000,
105,105,57,-1.208208779,234000,374250,20.7,10000,
115,115,75,15.36478347,264000,353240,23.7,8000,
115,115,72,11.54235461,252000,386480,23.6,8000,
115,115,67,5.691546355,231000,427560,23.5,8000,
115,115,62,0.422749936,213000,446240,23.6,8000,
115,115,57,-4.335340464,211000,386560,23.6,8000,
115,115,75,15.36478347,268000,387270,23.8,9000,
115,115,72,11.54235461,256000,421200,23.7,9000,
115,115,67,5.691546355,235000,466665,23.5,9000,
115,115,62,0.422749936,219000,472410,23.5,9000,
115,115,57,-4.335340464,218000,398180,23.6,9000,
115,115,75,15.36478347,271000,421300,23.8,10000,
115,115,72,11.54235461,258000,454150,23.7,10000,
115,115,67,5.691546355,238000,505000,23.5,10000,
115,115,62,0.422749936,225000,482800,23.5,10000,
115,115,57,-4.335340464,224000,408800,23.5,10000,
120,120,75,11.85222667,257000,384560,25.1,8000,
120,120,72,8.532960137,245000,419120,25.1,8000,
120,120,67,3.4523183,225000,461640,25.1,8000,
120,120,62,-1.12292436,207000,473040,25.2,8000,
120,120,57,-5.254687375,206000,403120,25.3,8000,
120,120,75,11.85222667,261000,423880,25.2,9000,
120,120,72,8.532960137,248000,457800,25.1,9000,
120,120,67,3.4523183,229000,504760,25,9000,
120,120,62,-1.12292436,215000,496160,25.2,9000,
120,120,57,-5.254687375,213000,414960,25.2,9000,
120,120,75,11.85222667,263000,462200,25.3,10000,
120,120,72,8.532960137,251000,495600,25.1,10000,
120,120,67,3.4523183,232000,546000,25,10000,
120,120,62,-1.12292436,219000,518200,25.1,10000,
120,120,57,-5.254687375,219000,425800,25.1,10000,
-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------,-------------
75,75,75,100,318000,110750,18.7,5000,
75,75,72,86.8608738,305000,124750,18.4,5000,
75,75,67,66.74944445,281000,150650,17.9,5000,
75,75,62,48.63860876,260000,177275,17.6,5000,
75,75,57,32.28326182,239000,201725,17.2,5000,
75,75,75,100,335000,111437.5,19,6250,
75,75,72,86.8608738,320000,123656.25,18.7,6250,
75,75,67,66.74944445,296000,161375,18.2,6250,
75,75,62,48.63860876,274000,194343.75,17.8,6250,
75,75,57,32.28326182,253000,222375,17.4,6250,
75,75,75,100,347000,112125,19.3,7500,
75,75,72,86.8608738,331000,133125,18.9,7500,
75,75,67,66.74944445,307000,171062.5,18.4,7500,
75,75,62,48.63860876,284000,207237.5,18,7500,
75,75,57,32.28326182,268000,236950,17.7,7500,
75,75,75,100,354000,103481.25,19.4,8750,
75,75,72,86.8608738,339000,137331.25,19.1,8750,
75,75,67,66.74944445,315000,180406.25,18.6,8750,
75,75,62,48.63860876,292000,223925,18.1,8750,
75,75,57,32.28326182,280000,247625,17.9,8750,
85,85,75,63.56878019,308000,141250,20.8,5000,
85,85,72,54.09934936,295000,156250,20.5,5000,
85,85,67,39.60494643,274000,192625,20.1,5000,
85,85,62,26.55238089,253000,221000,19.8,5000,
85,85,57,14.76500445,232000,246000,19.5,5000,
85,85,75,63.56878019,324000,148562.5,21.1,6250,
85,85,72,54.09934936,309000,181687.5,20.8,6250,
85,85,67,39.60494643,287000,214625,20.3,6250,
85,85,62,26.55238089,266000,249656.25,20,6250,
85,85,57,14.76500445,248000,275937.5,19.6,6250,
85,85,75,63.56878019,334000,160875,21.3,7500,
85,85,72,54.09934936,319000,193287.5,21,7500,
85,85,67,39.60494643,297000,236350,20.5,7500,
85,85,62,26.55238089,275000,276762.5,20.1,7500,
85,85,57,14.76500445,261000,291225,19.9,7500,
85,85,75,63.56878019,341000,183481.25,21.5,8750,
85,85,72,54.09934936,327000,208150,21.2,8750,
85,85,67,39.60494643,305000,255593.75,20.7,8750,
85,85,62,26.55238089,283000,300075,20.3,8750,
85,85,57,14.76500445,273000,304893.75,20.1,8750,
95,95,75,40.20910644,298000,201500,23.1,5000,
95,95,72,33.29467909,286000,218500,22.8,5000,
95,95,67,22.71109727,265000,236125,22.5,5000,
95,95,62,13.1803221,244000,265600,22.3,5000,
95,95,57,4.573367842,224000,289600,22,5000,
95,95,75,40.20910644,312000,227125,23.4,6250,
95,95,72,33.29467909,300000,225375,23.1,6250,
95,95,67,22.71109727,278000,269656.25,22.8,6250,
95,95,62,13.1803221,257000,305718.75,22.5,6250,
95,95,57,4.573367842,241000,323500,22.2,6250,
95,95,75,40.20910644,321000,238662.5,23.6,7500,
95,95,72,33.29467909,309000,256000,23.4,7500,
95,95,67,22.71109727,288000,301950,23,7500,
95,95,62,13.1803221,266000,341187.5,22.6,7500,
95,95,57,4.573367842,254000,343100,22.4,7500,
95,95,75,40.20910644,328000,243837.5,23.8,8750,
95,95,72,33.29467909,316000,282943.75,23.5,8750,
95,95,67,22.71109727,295000,331831.25,23.1,8750,
95,95,62,13.1803221,273000,374831.25,22.7,8750,
95,95,57,4.573367842,265000,358843.75,22.6,8750,
105,105,75,25.13447896,289000,253500,25.7,5000,
105,105,72,20.02318878,277000,270500,25.6,5000,
105,105,67,12.19958243,256000,280250,25.3,5000,
105,105,62,5.154232901,235000,310375,25.1,5000,
105,105,57,-1.208208779,214000,329000,24.9,5000,
105,105,75,25.13447896,302000,292875,26,6250,
105,105,72,20.02318878,290000,279781.25,25.9,6250,
105,105,67,12.19958243,268000,324093.75,25.6,6250,
105,105,62,5.154232901,247000,360531.25,25.3,6250,
105,105,57,-1.208208779,231000,362062.5,25,6250,
105,105,75,25.13447896,311000,311562.5,26.2,7500,
105,105,72,20.02318878,298000,322125,26,7500,
105,105,67,12.19958243,277000,368312.5,25.8,7500,
